seri,model,titles,year,km,color,prices,date,Il,Ilce,id,km_median,km / median
911,Carrera,BAVARIA GARAGE 2012 82.489 km PORSCHE 911 CARRERA VERGİ BARIŞLI,2012,82489,Beyaz,5650000,2023-04-10,İstanbul,Sarıyer,40,82489.0,1.0
911,Carrera 4S,POYRAZDAN 2020 PORSCHE 911 CARRERA 4S-17.000km-SİYAH KIRMIZI,2020,17000,Siyah,13000000,2023-04-10,Antalya,Kepez,8,17000.0,1.0
911,Carrera 4S,GALLERİA-2019 PORSCHE 911 CARRERA 4S-HATASIZ-SO ĞUTMA-CHRONO,2019,11067,Füme,13000000,2023-04-10,İstanbul,Şişli,40,17000.0,0.651
Panamera,Panamera 4S Diesel,UGR MOTORS BOYASIZ 2017 PANAMERA 4S DIESEL CARBON-TURBO KANAT,2017,96000,Beyaz,9250000,2023-04-10,Ankara,Çankaya,7,99000.0,0.9696969696969697
Panamera,Panamera Diesel,BORAM MOTORS'DAN KUSURSUZ TEMİZLİKTE PANAMERA DİESEL,2012,295000,Beyaz,3250000,2023-04-10,Sivas,Merkez,72,205000.0,1.4390243902439024
911,Carrera S,"İLK SAHİBİNDEN DOĞUŞ SERVİS BAKIMLI,57BİN KMTAM ÖTV(VERGİ BARIŞ)",2012,57000,Gümüş Gri,5800000,2023-04-10,İstanbul,Üsküdar,40,76450.0,0.7455853499018966
911,Carrera,MERKAR - 2012 PORSCHE 911 CARRERA BAYİ HATASIZ 55.000KM,2012,55000,Beyaz,5740000,2023-04-10,İstanbul,Bakırköy,40,82489.0,0.6667555674089879
911,Carrera 4S,SS MOTORS BAYİ 2021 911 CARRERA 4S-LIFTING-SPOR EGZOZ-CHRONO,2021,11033,Gri,16700000,2023-04-10,İstanbul,Şişli,40,25000.0,0.44132
911,Carrera 4S,MIATA CAR 2008 PORSCHE 911 CARRERA 4S-BOSE-ISITMA-SPOR EGZ-BAYİ,2008,138684,Siyah,2950000,2023-04-10,İstanbul,Çekmeköy,40,89574.0,1.5482617723893093
Taycan,Taycan,NASYONEL BAYİ PLUS CHALK BEJ SPORT CHRONO 4+1 KOLTK ISITMA BOSE,2022,6231,Beyaz,5390000,2023-04-10,İstanbul,Beşiktaş,40,7159.0,0.8703729571169158
911,Carrera 4S,2013 PORSCHE 911 CARRERA 4S SPOR EGSOZ BOSE BOYASIZ 13.645'KM,2013,13645,Beyaz,7250000,2023-04-10,Aydın,Efeler,11,54632.0,0.24976204422316592
Panamera,Panamera Diesel,OTTO'DAN BAYİ MAKYAJLI MATRİX BOSE VAKUM PUSULA CHRONE 5BÖLGE,2013,155000,Siyah,4125000,2023-04-10,Denizli,Merkezefendi,25,178000.0,0.8707865168539326
Taycan,Turbo S,ARS MOTORS 2020 PORSCHE TAYCAN TURBO S ''HATASIZ'',2020,12206,Beyaz,7300000,2023-04-10,İstanbul,Beşiktaş,40,29000.0,0.4208965517241379
Panamera,Panamera Diesel,RIDVAN DEMİR'DEN 2012 PORSCHE PANAMERA 3.0 DİESEL HATASIZ BAYİ,2012,205000,Siyah,2675000,2023-04-10,Ankara,Yenimahalle,7,205000.0,1.0
Panamera,Panamera Diesel,REİS AUTO BAYİ ÇIKIŞLI HATASIZ BOYASIZ HASAR KAYITSIZ PORSCHE,2012,180000,Siyah,3800000,2023-04-10,Afyonkarahisar,Merkez,0,205000.0,0.8780487804878049
Taycan,4 Cross Turismo,2021 TAYCAN 4 CROSS TURİSMO SPORT DESİGN-İÇİ TRÜF-SOĞUTMA-AİRMTC,2021,8375,Gri,7450000,2023-04-10,İstanbul,Sarıyer,40,9000.0,0.9305555555555556
Panamera,Panamera Diesel,ROTA MOTORS 2012 PANAMERA SPORT DESİGN+VERGİ BARIŞLI+GTS KOLTUK,2012,245000,Siyah,2850000,2023-04-10,İstanbul,Bağcılar,40,205000.0,1.1951219512195121
Taycan,4S Performance Plus,İçi kırmızı en ful paket Kapalı garaj arabası,2021,24000,Siyah,6450000,2023-04-10,Bursa,Osmangazi,21,25000.0,0.96
Panamera,Panamera 4,Porsche Panamera 4 Vergi Barışlı,2011,258000,Siyah,2190000,2023-04-10,Antalya,Aksu,8,170000.0,1.5176470588235293
Taycan,4S Performance Plus,PORSCHE TAYCAN 4S PERFORMANCE PLUS - HATASIZ,2020,22000,Siyah,5225000,2023-04-10,Bursa,Nilüfer,21,22000.0,1.0
Panamera,Panamera Diesel,EFE'DEN-2014PA­NAMERA-BOYASIZ -PLATİNİUM-İÇİ KIRMIZI-TAM FULL BAYİ,2014,149000,Siyah,4170000,2023-04-10,Ankara,Çankaya,7,155000.0,0.9612903225806452
Panamera,Panamera Diesel,MERT MOTORS'dan 2012 MODEL PORSCHE PANAMERA DİESEL BAYİ ÇIKIŞLI,2012,242000,Siyah,2850000,2023-04-10,Ankara,Yenimahalle,7,205000.0,1.1804878048780487
Panamera,Panamera Diesel,SERKAN..PANAMERA CHRONA+AİR+MAT­RİX+KEYLES+NAVİ­+VAKUM+KIRMIZI İÇ,2014,192000,Beyaz,4350000,2023-04-10,Samsun,Vezirköprü,67,155000.0,1.238709677419355
911,Carrera S,2007 Carrera S Bayi,2007,145000,Siyah,2750000,2023-04-10,İzmir,Çiğli,41,145000.0,1.0
Taycan,4 Cross Turismo,2021 TAYCAN 4 CROSS TURİSMO SPORT DESİGN-İÇİ TRÜF-SOĞUTMA-AİRMTC,2021,8375,Gri,7150000,2023-04-10,İstanbul,Sarıyer,40,9000.0,0.9305555555555556
911,Carrera 4S,2013 PORSCHE 911 CARRERA 4S SPOR EGSOZ BOSE BOYASIZ 13.645'KM,2013,13645,Beyaz,6950000,2023-04-10,Aydın,Efeler,11,54632.0,0.24976204422316592
Panamera,Panamera Diesel,PORSHE PANAMERA DİZEL KAZASIZ TAM DOLU PUSULA EĞLENCE PAKET..,2012,186000,Beyaz,2750000,2023-04-10,Bursa,Osmangazi,21,205000.0,0.9073170731707317
Panamera,Panamera Diesel,'MavişMotors'Air­Matic+Soğutma+Ch­orona+Bose+Keyl­ess+Navi+Hatasız,2012,99000,Beyaz,3275900,2023-04-10,İstanbul,Gaziosmanpaşa,40,205000.0,0.48292682926829267
Panamera,Panamera 4S,CİO MOTORS PANAMERA 4S 400HP V8 FACELİFT 21 JANT CHRONO AIRMATIC,2011,95000,Beyaz,3695000,2023-04-10,İzmir,Bornova,41,133000.0,0.7142857142857143
Panamera,Panamera Diesel,BORAM MOTORS'DAN KUSURSUZ TEMİZLİKTE PANAMERA DİESEL,2012,295000,Beyaz,2950000,2023-04-10,Sivas,Merkez,72,205000.0,1.4390243902439024
911,Carrera S,"İLK SAHİBİNDEN DOĞUŞ SERVİS BAKIMLI,57BİN KMTAM ÖTV(VERGİ BARIŞ)",2012,57000,Gümüş Gri,6000000,2023-04-10,İstanbul,Üsküdar,40,76450.0,0.7455853499018966
Taycan,4S,SS MOTORS 2021 TAYCAN 4S-HEAD UP-YOLCU EKRANI-SOĞUTMA-KÖR NOKTA,2021,14656,Siyah,4850000,2023-04-10,İstanbul,Şişli,40,27074.5,0.5413211693660086
Taycan,4S,PORSCHE TAYCAN 4S PERFORMANCE PLUS - HATASIZ,2020,22000,Siyah,7000000,2023-04-10,Bursa,Nilüfer,21,30000.0,0.7333333333333333
Panamera,Panamera Diesel,SERKAN..PANAMERA CHRONA+AİR+MAT­RİX+KEYLES+NAVİ­+VAKUM+KIRMIZI İÇ,2014,192000,Beyaz,4020000,2023-04-10,Samsun,Vezirköprü,67,155000.0,1.238709677419355
Panamera,Panamera Diesel,GALERİ AYHAN'dan Hatasız Tadında Panamera Diesel,2012,240000,Siyah,3050000,2023-04-10,Konya,Karatay,53,205000.0,1.170731707317073
Panamera,Panamera 4 E-Hybrid,BYCAR 2023 PANAMERA 4 E-HYBRİD 462 HP SOĞUTMA AİR FULL,2022,6666,Siyah,12500000,2023-04-10,İstanbul,Bakırköy,40,6666.0,1.0
Panamera,Panamera Diesel,DOĞUŞOTO ÇIKIŞLI BOSE SOĞUTMA ARKA KLİMA KARBON PUSULA ELK BAĞAJ,2015,123000,Beyaz,4450000,2023-04-10,Bursa,Nilüfer,21,136500.0,0.9010989010989011
Boxster,Boxster,HATASIZ BOYASIZ TRAMERSİZ BOXSTER,2014,77000,Füme,3100000,2023-04-10,Bursa,Nilüfer,21,153000.0,0.5032679738562091
Taycan,4S,PORSCHE TAYCAN 4S PERFORMANCE PLUS - HATASIZ,2020,22000,Siyah,5220000,2023-04-10,Bursa,Nilüfer,21,30000.0,0.7333333333333333
Panamera,Panamera Diesel,MERT MOTORS'dan 2012 MODEL PORSCHE PANAMERA DİESEL BAYİ ÇIKIŞLI,2012,242000,Siyah,2625000,2023-04-10,Ankara,Yenimahalle,7,205000.0,1.1804878048780487
Panamera,Panamera 4S,PORSCHE PANAMERA 4S_2011_238.00­0KM_CARACTERE BODY KİT_HATASIZ,2011,238000,Beyaz,2450000,2023-04-11,Antalya,Muratpaşa,8,133000.0,1.7894736842105263
Taycan,4S Performance Plus,ÖZEL FERRARİ KIRMIZISI RENGİNDE DOĞUŞ GARANTİSİ KAPSAMINDA,2020,29000,Kırmızı,6130000,2023-04-11,Tekirdağ,Süleymanpaşa,73,22000.0,1.3181818181818181
Panamera,Panamera Diesel,porsche panamera 2015,2014,45000,Beyaz,5950000,2023-04-11,İzmir,Balçova,41,155000.0,0.2903225806451613
Boxster,S,2002 PORSCHE BOXSTER S MANUEL EMSALSİZ,2002,93000,Siyah,1500000,2023-04-11,Adana,Seyhan,1,93000.0,1.0
Panamera,Panamera 4S,DOĞUŞ ÇIKIŞLI.HASAR KAYITSIZ.4 ÇEKER. TAKAS OLUR. TAKASLI,2010,320000,Füme,2680000,2023-04-11,İzmir,Buca,41,194000.0,1.6494845360824741
911,Turbo,SAHİBİNDEN TEMİZ PORSCHE,2010,88000,Lacivert,5750000,2023-04-11,İstanbul,Kağıthane,40,64500.0,1.3643410852713178
Taycan,4S Performance Plus,SAHİBİNDEN TAYCAN 4S PERFORMANCEPLUS SPORTDESGN,2020,20000,Gri,5000000,2023-04-11,İzmir,Güzelbahçe,41,22000.0,0.9090909090909091
Panamera,Panamera 4 E-Hybrid,NERGİZ'DEN 2021 PANAMERA 4E HYBRİD BURMESTER+D İSTRONİC+4 MASAJ,2021,10000,Siyah,11000000,2023-04-11,Gaziantep,Şehitkamil,33,20218.0,0.49460876446730634
Taycan,4S Performance Plus,AZ KM SAHİBİNDEN FULL BAYİ %18KDV SİYAH KIRMIZI PERFORMANCEPLUS,2021,45078,Siyah,6435000,2023-04-11,İstanbul,Kartal,40,25000.0,1.80312
Panamera,Panamera 4,PORSCHE PANAMERA TERTEMİZ MASRAFSIZ,2012,173000,Beyaz,2400000,2023-04-11,İstanbul,Ümraniye,40,175000.0,0.9885714285714285
911,Turbo S,SS MOTORS 2013 PORSCHE 911 TURBO S-SERAMİK-SOĞUT­MA-BOSE-CHRONO,2013,36034,Siyah,10300000,2023-04-11,İstanbul,Şişli,40,41147.0,0.8757382069166646
Boxster,Boxster,ATASOY 1998 PORSCHE 986 2.5 BOXSTER SORUNSUZ,1998,180832,Gri,795000,2023-04-11,Ankara,Gölbaşı,7,104000.0,1.7387692307692308
718,718,"SAHİBİNDEN, DOĞUŞ OTO ÇIKIŞLI VE BAKIMLI, HATASIZ , 28.600KM",2016,45105,Beyaz,4125000,2023-04-11,Ankara,Çankaya,7,45105.0,1.0
718,Boxster,718 BOXSTER NADIR PORSCHE RENGI,2016,68000,Gri,3700000,2023-04-11,İstanbul,Beşiktaş,40,46000.0,1.4782608695652173
Taycan,Turbo,YENİKÖY MOTORS 2020 TAYCAN TURBO -BURMESTER- PDCC-DISPLAY,2020,45145,Siyah,7350000,2023-04-11,İstanbul,Sarıyer,40,27000.0,1.672037037037037
911,Carrera 4S,CARELLA.. 2010 PORSCHE 911 CARRERA 4S BAYİİ HATASIZ PDK SGT-IST,2010,83000,Beyaz,4500000,2023-04-11,İstanbul,Üsküdar,40,83000.0,1.0
Cayman,S,CAYMAN S BAYİ İÇİ TABA FATURALI TÜM BAKIMLARI YENİ,2006,154000,Siyah,1425000,2023-04-11,İstanbul,Ümraniye,40,145279.0,1.0600293228890618
Panamera,Panamera Diesel,PLUS AUTO'DAN 4 KOLTUK ISITMA -SOĞUTMA-BOSE SES -CARBON-CHRONO,2012,194000,Beyaz,2750000,2023-04-11,Denizli,Pamukkale,25,205000.0,0.9463414634146341
Taycan,4S Performance Plus,ALKAN AŞ 2020 TAYCAN 4S PERFORMANCE PLUS-TRÜF-SO ĞUTMA-CHRONO,2020,55000,Siyah,5250000,2023-04-11,Ankara,Gölbaşı,7,22000.0,2.5
Taycan,4S Performance Plus,2020 PORSCHE TAYCAN 4S+BAYİ+SOĞUTM­A+PERFORMANCE PLUS+YOLCU EKRAN,2020,6001,Lacivert,6150000,2023-04-11,Eskişehir,Odunpazarı,32,22000.0,0.2727727272727273
Taycan,Taycan,DOĞUŞ ÇIKIŞLI-SAHIBINDE­N-HATASIZ-BOYASIZ -AIRMATIC-KIRMIZI DERİ,2021,17000,Beyaz,4850000,2023-04-11,İstanbul,Başakşehir,40,17500.0,0.9714285714285714
Cayman,Cayman,2007 CAYMAN 82.000 KM DOĞUŞ ÇIKIŞLI-BOSE-SPOR EGZ.-CARPLAY,2007,82000,Siyah,1760000,2023-04-11,İstanbul,Sarıyer,40,96000.0,0.8541666666666666
Taycan,Turbo S,PAN MOTORS 2020 TAYCAN TURBO S BOSE MÜZİK SİSTEMİ,2020,44932,Beyaz,7950000,2023-04-11,İstanbul,Sarıyer,40,29000.0,1.5493793103448277
Panamera,Panamera S Hybrid,Kusursuz temizlikte A+ kondisyonda garaj aracı,2012,127000,Siyah,4040000,2023-04-11,Ordu,Altınordu,63,127000.0,1.0
Taycan,Turbo,GERZ OTOMOTİV`DEN 2020 TAYCAN TURBO AİRMATİC/YOLCU EKRAN,2020,35000,Siyah,7000000,2023-04-11,İstanbul,Bağcılar,40,27000.0,1.2962962962962963
Panamera,Panamera Diesel,PORSCHE PANAMERA DİESEL PUSULA/AIR/ARKA KLİMA CHROME,2012,198000,Siyah,2395000,2023-04-11,Antalya,Muratpaşa,8,205000.0,0.9658536585365853
Taycan,4S Performance Plus,AVRASYA GROUP'TAN PORSCHE TAYCAN 4S PERFORMANCE PLUS /2020/571HP,2020,38000,Beyaz,5000000,2023-04-11,Ankara,Çankaya,7,22000.0,1.7272727272727273
Taycan,4S Sport Turismo,2022 PORSCHE TAYCAN 4S SPORT TURİSMO/571 HP/BOSE/YOLCU EKRANI,2022,6035,Beyaz,7199000,2023-04-11,İstanbul,Beyoğlu,40,6005.0,1.0049958368026644
Taycan,4 Cross Turismo,BAYİİİ ÇIKIŞLI HATASIZ 2027 YILINA KADAR GARANTİLİ,2022,45054,Siyah,7500000,2023-04-11,İstanbul,Beylikdüzü,40,25720.0,1.7517107309486781
Panamera,Panamera Diesel,AUTO ERAY'DAN **PANAMERA 3.0D 300hp 48 AYA VARAN TAKSİT,2012,170000,Beyaz,3650000,2023-04-11,Sinop,Merkez,70,205000.0,0.8292682926829268
Panamera,Panamera 4 Platinum Edition,2022~BAYİ~PANAMERA 4//ARKA AKS+SPOR KOLTUKLAR+S­OĞUTMA+SPOR EGZOZ,2022,45146,Siyah,13150000,2023-04-11,Trabzon,Ortahisar,75,7000.0,6.449428571428571
Taycan,Taycan,Sifir hata kapali garaj Performance Plus turbo jant spor design,2021,19000,Siyah,4800000,2023-04-11,İstanbul,Sarıyer,40,17500.0,1.0857142857142856
Taycan,Taycan,Sifir hata kapali garaj Performance Plus turbo jant spor design,2021,45063,Siyah,4850000,2023-04-11,İstanbul,Sarıyer,40,17500.0,2.5750285714285712
Panamera,Panamera 4S,PORSCHE PANAMERA 4S_2011_238.00­0KM_CARACTERE BODY KİT_HATASIZ,2011,238000,Beyaz,2350000,2023-04-11,Antalya,Muratpaşa,8,133000.0,1.7894736842105263
Panamera,Panamera Diesel,porsche panamera 2015,2014,45000,Beyaz,6000000,2023-04-11,İzmir,Balçova,41,155000.0,0.2903225806451613
Panamera,Panamera Diesel,PORSCHE PANAMERA DİESEL PUSULA/AIR/ARKA KLİMA CHROME,2012,198000,Siyah,2425000,2023-04-11,Antalya,Muratpaşa,8,205000.0,0.9658536585365853
Panamera,Panamera 4S,DOĞUŞ ÇIKIŞLI.HASAR KAYITSIZ.4 ÇEKER. TAKAS OLUR. TAKASLI,2010,320000,Füme,2250000,2023-04-11,İzmir,Buca,41,194000.0,1.6494845360824741
Panamera,Panamera 4,PORSCHE PANAMERA TERTEMİZ MASRAFSIZ,2012,173000,Beyaz,2450000,2023-04-11,İstanbul,Ümraniye,40,175000.0,0.9885714285714285
Taycan,Turbo,YENİKÖY MOTORS 2020 TAYCAN TURBO -BURMESTER- PDCC-DISPLAY,2020,45145,Siyah,6650000,2023-04-11,İstanbul,Sarıyer,40,27000.0,1.672037037037037
Cayman,Cayman,2007 CAYMAN 82.000 KM DOĞUŞ ÇIKIŞLI-BOSE-SPOR EGZ.-CARPLAY,2007,82000,Siyah,1590000,2023-04-11,İstanbul,Sarıyer,40,96000.0,0.8541666666666666
Panamera,Panamera Diesel,PORSCHE PANAMERA DİESEL PUSULA/AIR/ARKA KLİMA CHROME,2012,198000,Siyah,2475000,2023-04-11,Antalya,Muratpaşa,8,205000.0,0.9658536585365853
Taycan,4S Sport Turismo,2022 PORSCHE TAYCAN 4S SPORT TURİSMO/571 HP/BOSE/YOLCU EKRANI,2022,6005,Beyaz,6999000,2023-04-11,İstanbul,Beyoğlu,40,6005.0,1.0
Panamera,Panamera 4,SAHİBİNDEN-H­ATASIZ-BAYİ CIKIŞLI-PANAMERA 4-TAM DOLU-4x4,2011,229000,Beyaz,2470750,2023-04-11,Sakarya,Sapanca,66,170000.0,1.3470588235294119
Panamera,Panamera 4S,DOĞUŞ ÇIKIŞLI.HASAR KAYITSIZ.4 ÇEKER. TAKAS OLUR. TAKASLI,2010,320000,Füme,2650000,2023-04-11,İzmir,Buca,41,194000.0,1.6494845360824741
911,Carrera,991.2 DOĞUŞ ÇIKIŞLI KOMPLE DOĞUŞ BAKIMLI,2016,69852,Siyah,7250000,2023-04-11,İstanbul,Beşiktaş,40,38000.0,1.8382105263157895
Panamera,Panamera Diesel,"DOĞUŞ ÇIKIŞLI, TRAMER KAYITSIZ, 2014 MODEL , 2. SAHİBİNDEN TEMİZ",2014,105000,Siyah,4360000,2023-04-12,İstanbul,Pendik,40,155000.0,0.6774193548387096
Panamera,Panamera Diesel,FM MOTORS DAN 2013 PORSCHE PANAMERA DİESEL -MAKYAJLI- BAYİ DOLU,2013,215000,Beyaz,3590000,2023-04-12,Konya,Karatay,53,178000.0,1.2078651685393258
911,Carrera 4S,2011 PORSCHE CARRERA 4S PDK BOYASIZ 84.927 KM TÜRKİYE DE TEK,2011,84927,Siyah,4110000,2023-04-12,İstanbul,Beşiktaş,40,64000.0,1.326984375
Taycan,Turbo,PORSCHE TAYCAN TURBO 680PS EXTRA FULL,2020,19000,Siyah,5950000,2023-04-12,İstanbul,Ataşehir,40,27000.0,0.7037037037037037
Panamera,Panamera 4,İMPERİAL MOTORS 2011 PANEMARA 4 VERGİ BARIŞLI 4 X 4,2011,175000,Siyah,1975000,2023-04-12,Ankara,Çankaya,7,170000.0,1.0294117647058822
Panamera,Panamera GTS,TARGET MOTORS 2012 PANAMERA 4.8 GTS 430 HP 18KLTK+NAVİ+HATASIZ,2012,103000,Siyah,4500000,2023-04-12,İstanbul,Beşiktaş,40,96000.0,1.0729166666666667
911,Carrera 4S,Titiz Kullanılmış Carrera 4S Bayan Kullanıcıdan Emsalsiz,2004,140000,Siyah,2400000,2023-04-12,İstanbul,Sancaktepe,40,139500.0,1.003584229390681
Taycan,Turbo S,"2020 PORSCHE TAYCAN TURBO S 761 HP AIR,BOYASIZ BAYİİ FULL",2020,34000,Beyaz,6500000,2023-04-12,Mersin,Toroslar,58,29000.0,1.1724137931034482
911,Carrera,GARAGE 2011 CARRERA BLACK EDITION-LIMITED EDITION NO:0337/1911-,2011,60000,Siyah,3750000,2023-04-12,İstanbul,Beykoz,40,64900.0,0.9244992295839753
Panamera,Panamera 4 E-Hybrid,ERCAR MOTORS 2020 PORSCHE PANAMERA E-HYBRİD-BO­SE-SOĞUTMA,2020,40000,Siyah,8800000,2023-04-12,İstanbul,Beşiktaş,40,40000.0,1.0
Panamera,Panamera Diesel,150000 KM. HİÇ HATASIZ BOYASIZ TREMERSİZ,2013,150000,Siyah,3850000,2023-04-12,Giresun,Görele,34,178000.0,0.8426966292134831
Panamera,Panamera Diesel,REDLINE GARAGE 2012 MODEL PORSCHE PANAMERA DIESEL BAYİ,2012,80000,Kahverengi,3599000,2023-04-12,Antalya,Kepez,8,205000.0,0.3902439024390244
Panamera,Panamera Diesel,SORMOT 13ÇIKIŞLI PANEMERA MARSALA CHORONO AİR BOSE SOĞUTMA,2012,218000,Siyah,2875000,2023-04-12,İstanbul,Üsküdar,40,205000.0,1.0634146341463415
Taycan,Turbo S,-VEGAS MOTORS-2020PORSCHE TAYCAN TURBOS BRABUS A.AKS SERAMİK AİR,2020,44963,Beyaz,8500000,2023-04-12,İstanbul,Kadıköy,40,29000.0,1.550448275862069
Cayman,Cayman,2007 PORSCHE CAYMAN 65.000'KM BAYİ ÇIKIŞLI KOBALT MAVİ,2007,65000,Mavi,1815000,2023-04-12,İstanbul,Kadıköy,40,96000.0,0.6770833333333334
Cayman,S,DOR MOTORS CAYMAN S BAYİİ-BOSE-CHORONO,2006,196000,Siyah,1650000,2023-04-12,İstanbul,Başakşehir,40,145279.0,1.3491282291315332
Cayman,S,Porsche Cayman S farklılığını yaşayın,2006,112000,Gümüş Gri,1350000,2023-04-12,İstanbul,Kadıköy,40,145279.0,0.7709304166465903
911,Carrera 4,DOĞUŞ GARANTİLİ3YI­LYABANCIDAN YABANCIYA! 2016 MODEL 911 CARRERA4,2016,69000,Gri,3900000,2023-04-12,Ankara,Çankaya,7,69000.0,1.0
Taycan,GTS,BAYİ+2023 TESCİL+SIFIR HATA+ 600HP + SAHIBINDEN,2022,1111,Siyah,8450000,2023-04-12,Bursa,Nilüfer,21,6001.0,0.18513581069821697
Taycan,GTS Sport Turismo,Sahibinden 2022 Porsche Taycan GTS Sport Turismo HATASIZ,2022,16619,Gümüş Gri,10750000,2023-04-12,İstanbul,Kadıköy,40,7450.0,2.230738255033557
Panamera,Panamera Diesel,*AS Group Otomotiv* 2012 Dizel Panamera Tam Dolu AİR-BOSS-CHORON,2012,235000,Siyah,2600000,2023-04-12,Afyonkarahisar,Merkez,0,205000.0,1.146341463414634
Panamera,Panamera Diesel,HATASIZ PANEMERA DİZEL BAYİİ ÇIKIŞLI,2013,261000,Beyaz,3325000,2023-04-12,Yalova,Merkez,79,178000.0,1.4662921348314606
911,Carrera,sahibinden satılık porsche carera,2000,224000,Beyaz,1545000,2023-04-12,İstanbul,Maltepe,40,224000.0,1.0
Panamera,Panamera 4,HATASIZ BOYASIZ TRAMERSİZ BAYİİ PANAMERA 4 2011,2011,201000,Beyaz,2485000,2023-04-12,Denizli,Sarayköy,25,170000.0,1.1823529411764706
Panamera,Panamera Diesel,KUZEY MOTORS - 2013 - YENİ KASA - MARSALA - SGTMA - VKM,2013,195000,Beyaz,2900000,2023-04-12,İstanbul,Kadıköy,40,178000.0,1.095505617977528
Cayman,S,MERKAR - 2011 PORSCHE CAYMAN S PDK 310HP,2011,85369,Beyaz,1890000,2023-04-12,İstanbul,Bakırköy,40,90484.0,0.9434706688475311
911,Carrera S,RUHSAT SAHİBİNDEN HATASIZ,2012,63000,Siyah,5650000,2023-04-12,İzmir,Bornova,41,76450.0,0.8240680183126227
Taycan,4S Performance Plus,GALLERY - 2021 PORSCHE TAYCAN 4S ARKA AKS YOLCU EKRAN,2021,18000,Gümüş Gri,5450000,2023-04-12,İstanbul,Sarıyer,40,25000.0,0.72
Taycan,Taycan,''SYL GROUP'' 2021 TAYCAN +BOSSE+SOGUTMA+HEAD UP+YOLCU EKRANI+,2021,6005,Siyah,5300000,2023-04-12,İstanbul,Bağcılar,40,17500.0,0.34314285714285714
911,GT3,YENİKÖY MOTORS 2021 PORSCHE GT3 4.0 - LIFTING - SERAMİK,2021,8000,Mavi,19750000,2023-04-12,İstanbul,Sarıyer,40,8000.0,1.0
Panamera,Panamera Diesel,2013 BAYİ ÇIKIŞLI PLATİNİUM EDİTİON 146000 KM,2013,146000,Beyaz,3485000,2023-04-12,Ankara,Etimesgut,7,178000.0,0.8202247191011236
Boxster,Boxster,2011 PORSCHE BOXSTER -DOĞUŞ - İLK SAHİBİ SERVİS KAYITLI HATASIZ,2011,88211,Beyaz,2450000,2023-04-12,İzmir,Konak,41,99000.0,0.891020202020202
Panamera,Panamera 4 E-Hybrid,EREN OTOMOTİVDEN 2019 PORSCHE PANEMERA 4 E-HYBRİD+ISI­TMA+SOĞUTMA,2019,37000,Siyah,8780000,2023-04-12,İzmir,Gaziemir,41,39000.0,0.9487179487179487
911,Carrera 4S,Caretta'dan Bayi Çıkışlı Carbon Turbo Facelift Porsche 911,2006,81000,Siyah,2599900,2023-04-12,İstanbul,Ataşehir,40,81000.0,1.0
Taycan,Turbo S,HATASIZ KAZASIZ TAYCAN TURBO S,2020,29000,Füme,6300000,2023-04-12,İzmir,Bayraklı,41,29000.0,1.0
Panamera,Panamera Diesel,2013 MAKYAJLI KASA VAKUM+BOSE+­ANAHTARSIZ GİRİŞ,2013,221000,Beyaz,3125000,2023-04-12,Antalya,Muratpaşa,8,178000.0,1.2415730337078652
Taycan,GTS Sport Turismo,GEPARD|2022 NEW TAYCAN GTS SPORT TURISMO 598 HP ÖZEL SİPARİŞ,2022,6001,Kırmızı,9900000,2023-04-12,İstanbul,Beşiktaş,40,7450.0,0.805503355704698
Panamera,Panamera Diesel,150000 KM. HİÇ HATASIZ BOYASIZ TREMERSİZ,2013,150000,Siyah,3740000,2023-04-12,Giresun,Görele,34,178000.0,0.8426966292134831
Panamera,Panamera 4,HATASIZ BOYASIZ TRAMERSİZ BAYİİ PANAMERA 4 2011,2011,201000,Beyaz,2350000,2023-04-12,Denizli,Sarayköy,25,170000.0,1.1823529411764706
Taycan,Turbo,PORSCHE TAYCAN TURBO 680PS EXTRA FULL,2020,19000,Siyah,5790000,2023-04-12,İstanbul,Ataşehir,40,27000.0,0.7037037037037037
Panamera,Panamera Diesel,REDLINE GARAGE 2012 MODEL PORSCHE PANAMERA DIESEL BAYİ,2012,80000,Kahverengi,3600000,2023-04-12,Antalya,Kepez,8,205000.0,0.3902439024390244
Panamera,Panamera Diesel,KUZEY MOTORS - 2013 - YENİ KASA - MARSALA - SGTMA - VKM,2013,195000,Beyaz,2975000,2023-04-12,İstanbul,Kadıköy,40,178000.0,1.095505617977528
911,GT3,YENİKÖY MOTORS 2021 PORSCHE GT3 4.0 - LIFTING - SERAMİK,2021,8000,Mavi,19350000,2023-04-12,İstanbul,Sarıyer,40,8000.0,1.0
Panamera,Panamera Diesel,C A N K A Y'DAN GTS EDITION-BOYASIZ-TAM DOLU-CARBON -BOSE-SOĞUT,2012,208000,Beyaz,2895000,2023-04-12,Ankara,Çankaya,7,205000.0,1.0146341463414634
Panamera,Panamera Diesel,2013 MAKYAJLI KASA VAKUM+BOSE+­ANAHTARSIZ GİRİŞ,2013,221000,Beyaz,2850000,2023-04-12,Antalya,Muratpaşa,8,178000.0,1.2415730337078652
911,Carrera 4S,2011 PORSCHE CARRERA 4S PDK BOYASIZ 84.927 KM TÜRKİYE DE TEK,2011,84927,Siyah,4150000,2023-04-12,İstanbul,Beşiktaş,40,64000.0,1.326984375
